id,name
240,making sushi
241,faceplanting
242,making a sandwich
243,exercising with an exercise ball
244,sign language interpreting
245,cracking neck
246,garbage collecting
247,drawing
248,stomping grapes
249,cleaning pool
250,making a cake
251,peeling potatoes
252,breading or breadcrumbing
253,doing aerobics
254,slapping
255,tossing coin
256,tossing salad
257,doing laundry
258,changing wheel
259,pushing wheelchair
260,massaging feet
261,cooking sausages
262,playing kickball
263,riding mule
264,skiing crosscountry
265,spraying
266,sword fighting
267,riding a bike
268,riding mountain bike
269,swinging on something
270,applying cream
271,hockey stop
272,strumming guitar
273,playing flute
274,answering questions
275,training dog
276,setting table
277,auctioning
278,juggling soccer ball
279,egg hunting
280,skipping rope
281,clapping
282,punching person boxing
283,wrestling
284,eating cake
285,sneezing
286,testifying
287,parkour
288,skydiving
289,skiing slalom
290,shaving legs
291,hugging
292,swing dancing
293,clay pottery making
294,eating carrots
295,massaging legs
296,playing controller
297,eating doughnuts
298,assembling computer
299,brush painting
300,ice fishing
301,ironing
302,pumping gas
303,planting trees
304,waxing back
305,kicking soccer ball
306,using remote controller not gaming
307,bobsledding
308,eating watermelon
309,checking tires
310,cutting nails
311,hoverboarding
312,carrying baby
313,eating hotdog
314,disc golfing
315,drinking beer
316,vault
317,bandaging
318,cleaning toilet
319,blowing nose
320,sanding floor
321,arranging flowers
322,peeling apples
323,frying vegetables
324,decorating the christmas tree
325,tasting beer
326,drinking
327,sweeping floor
328,dodgeball
329,extinguishing fire
330,shooting basketball
331,tasting food
332,bartending
333,cleaning gutters
334,tickling
335,mopping floor
336,ripping paper
337,shining shoes
338,baby waking up
339,cartwheeling
340,snowmobiling
341,cooking egg
342,grooming dog
343,push up
344,hurdling
345,bending back
346,trimming trees
347,headbutting
348,kissing
349,shaking hands
350,throwing ball
351,playing cymbals
352,catching fish
353,massaging person's head
354,swimming butterfly stroke
355,grooming horse
356,getting a haircut
357,counting money
358,making jewelry
359,climbing ladder
360,krumping
361,juggling fire
362,jumpstyle dancing
363,watering plants
364,fixing hair
365,riding scooter
366,tying tie
367,playing organ
368,dining
369,making bed
370,bouncing on trampoline
371,folding clothes
372,knitting
373,playing piano
374,cleaning windows
375,cleaning shoes
376,riding mechanical bull
377,tapping pen
378,golf chipping
379,texting
380,carving pumpkin
381,cutting pineapple
382,changing oil
383,drop kicking
384,riding camel
385,flipping pancake
386,stretching arm
387,blasting sand
388,waxing eyebrows
389,playing keyboard
390,celebrating
391,writing
392,dancing charleston
393,hopscotch
394,water skiing
395,braiding hair
396,playing cards
397,playing monopoly
398,opening bottle
399,eating chips
